Id:,25015
Estación:,CULIACAN (DGE)-SIN
Posición:,24.7919444444N -107.389722222W
Variable:,Evaporación (mm)
Fecha Inicial:,01/01/1961
Fecha Final:,06/01/2016
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1961,2.9
01,02,1961,2.7
01,03,1961,3.7
01,04,1961,2.5
01,05,1961,1.1
01,06,1961,1.9
01,07,1961,4.0
01,08,1961,6.3
01,09,1961,5.2
01,10,1961,3.6
01,11,1961,3.6
01,12,1961,4.2
01,13,1961,3.8
01,14,1961,3.5
01,15,1961,1.7
01,16,1961,1.9
01,17,1961,2.4
01,18,1961,1.2
01,19,1961,1.0
01,20,1961,1.7
01,21,1961,1.3
01,22,1961,1.3
01,23,1961,1.9
01,24,1961,1.1
01,25,1961,3.0
01,26,1961,2.4
01,27,1961,3.1
01,28,1961,2.1
01,29,1961,2.5
01,30,1961,2.4
01,31,1961,3.9
02,01,1961,3.4
02,02,1961,3.5
02,03,1961,3.3
02,04,1961,3.9
02,05,1961,4.3
02,06,1961,4.4
02,07,1961,4.1
02,08,1961,3.7
02,09,1961,4.3
02,10,1961,4.4
02,11,1961,6.1
02,12,1961,5.6
02,13,1961,5.1
02,14,1961,5.9
02,15,1961,5.3
02,16,1961,6.5
02,17,1961,4.5
02,18,1961,4.7
02,19,1961,3.3
02,20,1961,4.9
02,21,1961,4.9
02,22,1961,4.8
02,23,1961,3.1
02,24,1961,5.3
02,25,1961,4.7
02,26,1961,6.9
02,27,1961,5.1
02,28,1961,5.1
03,01,1961,5.5
03,02,1961,5.1
03,03,1961,6.0
03,04,1961,4.9
03,05,1961,5.7
03,06,1961,5.7
03,07,1961,5.3
03,08,1961,6.8
03,09,1961,6.0
03,10,1961,5.3
03,11,1961,6.2
03,12,1961,5.7
03,13,1961,5.9
03,14,1961,6.0
03,15,1961,4.9
03,16,1961,5.3
03,17,1961,5.9
03,18,1961,5.8
03,19,1961,6.3
03,20,1961,6.1
03,21,1961,6.2
03,22,1961,5.9
03,23,1961,6.2
03,24,1961,6.9
03,25,1961,5.7
03,26,1961,5.8
03,27,1961,6.8
03,28,1961,6.5
03,29,1961,4.7
03,30,1961,7.0
03,31,1961,5.4
04,01,1961,7.3
04,02,1961,6.3
04,03,1961,5.3
04,04,1961,4.1
04,05,1961,3.8
04,06,1961,6.3
04,07,1961,7.0
04,08,1961,7.0
04,09,1961,7.0
04,10,1961,7.1
04,11,1961,6.9
04,12,1961,7.1
04,13,1961,7.0
04,14,1961,6.5
04,15,1961,6.4
04,16,1961,7.6
04,17,1961,7.2
04,18,1961,7.6
04,19,1961,6.6
04,20,1961,7.8
04,21,1961,9.6
04,22,1961,7.3
04,23,1961,7.3
04,24,1961,6.7
04,25,1961,8.9
04,26,1961,9.0
04,27,1961,8.4
04,28,1961,7.7
04,29,1961,8.3
04,30,1961,7.6
05,01,1961,9.4
05,02,1961,7.2
05,03,1961,8.1
05,04,1961,7.2
05,05,1961,7.5
05,06,1961,7.5
05,07,1961,7.3
05,08,1961,5.5
05,09,1961,7.3
05,10,1961,8.1
05,11,1961,8.3
05,12,1961,7.3
05,13,1961,8.6
05,14,1961,9.1
05,15,1961,7.9
05,16,1961,8.4
05,17,1961,7.3
05,18,1961,8.1
05,19,1961,8.2
05,20,1961,7.5
05,21,1961,7.5
05,22,1961,9.3
05,23,1961,8.6
05,24,1961,8.6
05,25,1961,8.4
05,26,1961,8.0
05,27,1961,9.0
05,28,1961,8.6
05,29,1961,8.0
05,30,1961,8.6
05,31,1961,8.7
06,01,1961,8.5
06,02,1961,7.3
06,03,1961,10.0
06,04,1961,8.6
06,05,1961,8.6
06,06,1961,8.9
06,07,1961,9.5
06,08,1961,8.9
06,09,1961,9.8
06,10,1961,9.1
06,11,1961,9.0
06,12,1961,7.2
06,13,1961,4.9
06,14,1961,7.5
06,15,1961,6.2
06,16,1961,10.2
06,17,1961,10.0
06,18,1961,10.3
06,19,1961,9.8
06,20,1961,9.8
06,21,1961,8.1
06,22,1961,10.1
06,23,1961,8.3
06,24,1961,10.2
06,25,1961,7.9
06,26,1961,8.8
06,27,1961,8.5
06,28,1961,9.8
06,29,1961,9.6
06,30,1961,10.2
07,01,1961,8.3
07,02,1961,8.7
07,03,1961,8.2
07,04,1961,6.8
07,05,1961,5.8
07,06,1961,2.5
07,07,1961,5.9
07,08,1961,7.9
07,09,1961,7.5
07,10,1961,4.5
07,11,1961,5.9
07,12,1961,5.3
07,13,1961,6.4
07,14,1961,3.3
07,15,1961,7.9
07,16,1961,5.3
07,17,1961,8.4
07,18,1961,8.1
07,19,1961,5.4
07,20,1961,5.7
07,21,1961,5.0
07,22,1961,6.1
07,23,1961,6.8
07,24,1961,6.5
07,25,1961,5.9
07,26,1961,3.6
07,27,1961,9.4
07,28,1961,5.3
07,29,1961,5.7
07,30,1961,6.8
07,31,1961,8.0
08,01,1961,4.4
08,02,1961,3.2
08,03,1961,5.1
08,04,1961,6.7
08,05,1961,6.4
08,06,1961,6.6
08,07,1961,5.0
08,08,1961,6.9
08,09,1961,6.3
08,10,1961,4.4
08,11,1961,3.6
08,12,1961,6.2
08,13,1961,6.0
08,14,1961,4.4
08,15,1961,5.8
08,16,1961,8.3
08,17,1961,10.3
08,18,1961,3.8
08,19,1961,6.3
08,20,1961,7.1
08,21,1961,5.7
08,22,1961,6.3
08,23,1961,5.4
08,24,1961,6.9
08,25,1961,7.6
08,26,1961,6.4
08,27,1961,5.7
08,28,1961,4.6
08,29,1961,4.7
08,30,1961,7.9
08,31,1961,4.8
09,01,1961,2.3
09,02,1961,4.0
09,03,1961,5.2
09,04,1961,5.5
09,05,1961,5.7
09,06,1961,8.0
09,07,1961,5.9
09,08,1961,4.9
09,09,1961,3.3
09,10,1961,5.1
09,11,1961,5.8
09,12,1961,6.7
09,13,1961,6.1
09,14,1961,4.0
09,15,1961,4.2
09,16,1961,3.4
09,17,1961,5.9
09,18,1961,4.7
09,19,1961,6.3
09,20,1961,3.7
09,21,1961,5.4
09,22,1961,3.2
09,23,1961,5.5
09,24,1961,5.4
09,25,1961,7.2
09,26,1961,6.1
09,27,1961,4.5
09,28,1961,5.2
09,29,1961,5.1
09,30,1961,5.6
10,01,1961,4.7
10,02,1961,10.0
10,03,1961,4.4
10,04,1961,2.0
10,05,1961,4.8
10,06,1961,4.8
10,07,1961,4.8
10,08,1961,0.8
10,09,1961,0.3
10,10,1961,4.5
10,11,1961,5.4
10,12,1961,4.7
10,13,1961,4.9
10,14,1961,6.0
10,15,1961,6.5
10,16,1961,5.4
10,17,1961,6.8
10,18,1961,5.5
10,19,1961,4.2
10,20,1961,4.8
10,21,1961,4.9
10,22,1961,5.2
10,23,1961,5.1
10,24,1961,5.8
10,25,1961,5.8
10,26,1961,6.3
10,27,1961,5.5
10,28,1961,6.6
10,29,1961,1.8
10,30,1961,2.8
10,31,1961,4.4
11,01,1961,2.1
11,02,1961,4.9
11,03,1961,3.7
11,04,1961,3.7
11,05,1961,3.7
11,06,1961,3.8
11,07,1961,3.7
11,08,1961,3.3
11,09,1961,4.8
11,10,1961,4.2
11,11,1961,3.9
11,12,1961,3.9
11,13,1961,3.3
11,14,1961,5.6
11,15,1961,3.6
11,16,1961,4.1
11,17,1961,1.5
11,18,1961,3.9
11,19,1961,3.6
11,20,1961,3.5
11,21,1961,3.4
11,22,1961,3.0
11,23,1961,3.8
11,24,1961,3.5
11,25,1961,2.5
11,26,1961,4.8
11,27,1961,3.2
11,28,1961,3.2
11,29,1961,2.7
11,30,1961,3.5
12,01,1961,4.1
12,02,1961,3.3
12,03,1961,3.7
12,04,1961,3.7
12,05,1961,3.5
12,06,1961,3.4
12,07,1961,2.7
12,08,1961,0.2
12,09,1961,1.3
12,10,1961,0.5
12,11,1961,2.8
12,12,1961,2.7
12,13,1961,2.9
12,14,1961,1.7
12,15,1961,1.7
12,16,1961,3.6
12,17,1961,3.0
12,18,1961,4.1
12,19,1961,3.6
12,20,1961,4.0
12,21,1961,4.2
12,22,1961,3.7
